time,model,kernel,max_iter,C,mean_accuracy_score,mean_roc_auc_score,mean_confusion_matrix
17:52:47.213,svm,linear,1000,1E+14,0.5059559246,0.5000000000,"[[518.2, 507.4], [75.0, 78.2]]"
17:52:47.249,svm,linear,1000,1E-06,0.4522979836,0.4936126007,"[[448.0, 577.6], [68.0, 85.2]]"
17:52:47.248,svm,linear,1000,5E+13,0.5059559246,0.5000000000,"[[518.2, 507.4], [75.0, 78.2]]"
17:52:47.276,svm,linear,1000,1E+15,0.5059559246,0.5000000000,"[[518.2, 507.4], [75.0, 78.2]]"
17:52:47.335,svm,linear,1000,5E+14,0.5059559246,0.5000000000,"[[518.2, 507.4], [75.0, 78.2]]"
17:52:47.408,svm,linear,1000,5E+15,0.5059559246,0.5000000000,"[[518.2, 507.4], [75.0, 78.2]]"
17:52:51.071,svm,linear,1000,5E-07,0.4549125216,0.4823513626,"[[450.0, 575.6], [67.0, 86.2]]"
17:52:58.678,svm,linear,1000,1E-07,0.2765082260,0.5172278918,"[[198.4, 827.2], [25.6, 127.6]]"
17:53:00.101,svm,linear,1000,5E-08,0.5401335218,0.5001310093,"[[569.8, 455.8], [86.2, 67.0]]"
17:53:10.457,svm,linear,1000,1E-08,0.6572053318,0.5070216089,"[[731.4, 294.2], [109.8, 43.4]]"
17:53:14.771,svm,linear,1000,5E-09,0.3231837925,0.4921626625,"[[266.2, 759.4], [38.4, 114.8]]"
17:53:23.245,svm,linear,1000,1E-09,0.4786378386,0.4887776401,"[[484.2, 541.4], [73.2, 80.0]]"
17:53:25.458,svm,linear,10000,1E-03,0.5640883705,0.5003898635,"[[601.2, 424.4], [89.4, 63.8]]"
17:53:25.932,svm,linear,10000,5E-03,0.5522009425,0.5000000000,"[[585.8, 439.8], [88.2, 65.0]]"
17:53:26.289,svm,linear,10000,5E-02,0.5733545198,0.5000000000,"[[614.6, 411.0], [92.0, 61.2]]"
17:53:26.384,svm,linear,10000,1E-01,0.6434760996,0.5000000000,"[[713.8, 311.8], [108.4, 44.8]]"
17:53:26.553,svm,linear,10000,5E-04,0.4713736201,0.4874307228,"[[472.4, 553.2], [70.0, 83.2]]"
17:53:27.368,svm,linear,10000,1E-02,0.6227953941,0.5000000000,"[[685.2, 340.4], [104.2, 49.0]]"
17:53:27.906,svm,linear,10000,1E-04,0.5534683281,0.5000000000,"[[585.2, 440.4], [86.0, 67.2]]"
17:53:28.516,svm,linear,10000,5E-01,0.6465321268,0.5000000000,"[[719.6, 306.0], [110.6, 42.6]]"
17:53:29.059,svm,linear,10000,5E-05,0.5174146108,0.4993177388,"[[542.2, 483.4], [85.4, 67.8]]"
17:53:29.269,svm,linear,1000,1E-12,0.1353926113,0.4853952534,"[[6.4, 1019.2], [0.0, 153.2]]"
17:53:30.612,svm,linear,1000,5E-10,0.2993275761,0.4935808033,"[[234.8, 790.8], [35.0, 118.2]]"
17:53:30.766,svm,linear,1000,5E-15,0.1352228320,0.4847725667,"[[6.2, 1019.4], [0.0, 153.2]]"
17:53:31.456,svm,linear,1000,1E-10,0.1652457013,0.4737480358,"[[46.0, 979.6], [4.4, 148.8]]"
17:53:31.600,svm,linear,1000,5E-13,0.1355622466,0.4957091214,"[[6.6, 1019.0], [0.0, 153.2]]"
17:53:32.024,svm,linear,1000,5E-11,0.1581332443,0.4692987826,"[[34.6, 991.0], [1.4, 151.8]]"
17:53:32.719,svm,linear,10000,1E-05,0.4515465726,0.4973076370,"[[445.0, 580.6], [65.8, 87.4]]"
17:53:33.085,svm,linear,1000,1E-14,0.1352228320,0.4605177714,"[[6.2, 1019.4], [0.0, 153.2]]"
17:53:34.669,svm,linear,1000,1E-13,0.1350533407,0.4938581243,"[[6.0, 1019.6], [0.0, 153.2]]"
17:53:35.251,svm,linear,1000,5E-14,0.1353926113,0.4985765827,"[[6.4, 1019.2], [0.0, 153.2]]"
17:53:36.128,svm,linear,1000,1E-11,0.1404819585,0.4654522095,"[[12.6, 1013.0], [0.2, 153.0]]"
17:53:36.417,svm,linear,10000,1E+00,0.6465321268,0.4993177388,"[[719.6, 306.0], [110.6, 42.6]]"
17:53:36.423,svm,linear,10000,5E+00,0.6465321268,0.5013645224,"[[719.6, 306.0], [110.6, 42.6]]"
17:53:36.674,svm,linear,1000,5E-12,0.1382779954,0.4747562872,"[[10.0, 1015.6], [0.2, 153.0]]"
17:53:36.872,svm,linear,1000,1E-15,0.1352228320,0.4847965760,"[[6.2, 1019.4], [0.0, 153.2]]"
17:53:36.999,svm,linear,10000,5E-06,0.5486191712,0.5016906828,"[[581.4, 444.2], [88.0, 65.2]]"
17:53:46.628,svm,linear,10000,1E-06,0.4456860836,0.5058440937,"[[434.2, 591.4], [62.0, 91.2]]"
17:53:48.947,svm,linear,10000,1E+01,0.6465321268,0.5012670565,"[[719.6, 306.0], [110.6, 42.6]]"
17:53:50.691,svm,linear,10000,5E+01,0.6465321268,0.5000000000,"[[719.6, 306.0], [110.6, 42.6]]"
17:53:57.691,svm,linear,10000,5E-07,0.5713628238,0.5061124507,"[[608.8, 416.8], [88.6, 64.6]]"
17:53:59.786,svm,linear,10000,1E+02,0.6465321268,0.5011695906,"[[719.6, 306.0], [110.6, 42.6]]"
17:54:01.329,svm,linear,10000,5E+04,0.6465321268,0.4983080432,"[[719.6, 306.0], [110.6, 42.6]]"
17:54:02.647,svm,linear,10000,5E+02,0.6465321268,0.4983080432,"[[719.6, 306.0], [110.6, 42.6]]"
17:54:03.281,svm,linear,10000,1E+03,0.6465321268,0.5000000000,"[[719.6, 306.0], [110.6, 42.6]]"
17:54:03.303,svm,linear,10000,5E+03,0.6465321268,0.4984048720,"[[719.6, 306.0], [110.6, 42.6]]"
17:54:03.573,svm,linear,10000,1E+04,0.6465321268,0.4984048720,"[[719.6, 306.0], [110.6, 42.6]]"
17:54:04.106,svm,linear,10000,1E+05,0.6465321268,0.5000000000,"[[719.6, 306.0], [110.6, 42.6]]"
17:54:04.459,svm,linear,10000,5E+05,0.6465321268,0.5000000000,"[[719.6, 306.0], [110.6, 42.6]]"
17:54:04.969,svm,linear,10000,5E+06,0.6465321268,0.5000000000,"[[719.6, 306.0], [110.6, 42.6]]"
17:54:06.147,svm,linear,10000,1E+06,0.6465321268,0.5000000000,"[[719.6, 306.0], [110.6, 42.6]]"
17:54:06.536,svm,linear,10000,1E+07,0.6465321268,0.5000000000,"[[719.6, 306.0], [110.6, 42.6]]"
17:54:07.183,svm,linear,10000,5E+07,0.6465321268,0.5000000000,"[[719.6, 306.0], [110.6, 42.6]]"
17:54:07.413,svm,linear,10000,5E+08,0.6465321268,0.5013645224,"[[719.6, 306.0], [110.6, 42.6]]"
17:54:07.955,svm,linear,10000,1E+09,0.6465321268,0.5015594542,"[[719.6, 306.0], [110.6, 42.6]]"
17:54:08.224,svm,linear,10000,5E+09,0.6465321268,0.5015594542,"[[719.6, 306.0], [110.6, 42.6]]"
17:54:08.285,svm,linear,10000,1E+08,0.6465321268,0.5000000000,"[[719.6, 306.0], [110.6, 42.6]]"
17:54:09.174,svm,linear,10000,5E+10,0.6465321268,0.5006822612,"[[719.6, 306.0], [110.6, 42.6]]"
17:54:09.244,svm,linear,10000,1E+10,0.6465321268,0.5011695906,"[[719.6, 306.0], [110.6, 42.6]]"
